XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.99147535,40.72229346,143756,394,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,341,Stanton St & Mangin St,40.717821,-73.976289,15932,Subscriber,1972,2
-73.99098507,40.75756990,143757,391,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,318,E 43 St & Vanderbilt Ave,40.753202,-73.977987,17978,Subscriber,1971,1
-73.99098507,40.75756990,143784,452,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,442,W 27 St & 7 Ave,40.746647,-73.993915,18356,Subscriber,1956,1
-74.00176802,40.75066386,143814,281,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,453,W 22 St & 8 Ave,40.744751,-73.999154,20256,Subscriber,1982,2
-73.99704680,40.71413089,143827,466,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,534,Water - Whitehall Plaza,40.702551,-74.012723,14829,Subscriber,1990,1
-73.99193043,40.71173107,143830,397,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,473,Rivington St & Chrystie St,40.721101,-73.991925,21030,Subscriber,1982,1
-73.99193043,40.71173107,143887,357,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,351,Front St & Maiden Ln,40.705310,-74.006126,16706,Subscriber,1984,1
-73.98142006,40.72740794,143893,204,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,504,1 Ave & E 15 St,40.732219,-73.981656,21062,Subscriber,1985,1
-73.99400398,40.71076228,143903,605,NULL,NULL,408,Market St & Cherry St,40.710762,-73.994004,534,Water - Whitehall Plaza,40.702551,-74.012723,19624,Subscriber,1977,1
-73.98142006,40.72740794,143930,571,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,294,Washington Square E,40.730494,-73.995721,17548,Subscriber,1954,1
-74.01658354,40.71533790,143954,1871,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,352,W 56 St & 6 Ave,40.763406,-73.977225,20728,Subscriber,1973,1
-74.00277668,40.76087502,143988,657,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,173,Broadway & W 49 St,40.760647,-73.984427,15464,Subscriber,1958,1
-73.99147535,40.72229346,143994,231,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,250,Lafayette St & Jersey St,40.724561,-73.995653,18418,Subscriber,1979,1
-73.99695094,40.72679454,144000,1200,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,2012,E 27 St & 1 Ave,40.739445,-73.976806,21179,Subscriber,1942,1
-73.99098507,40.75756990,144006,799,NULL,NULL,529,W 42 St & 8 Ave,40.757570,-73.990985,305,E 58 St & 3 Ave,40.760958,-73.967245,17925,Subscriber,1965,1
-74.01658354,40.71533790,144010,695,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,225,W 14 St & The High Line,40.741951,-74.008030,19308,Subscriber,1960,1
-74.01658354,40.71533790,144042,527,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,337,Old Slip & Front St,40.703799,-74.008387,21011,Subscriber,1983,1
-74.00670227,40.70355377,144053,404,NULL,NULL,315,South St & Gouverneur Ln,40.703554,-74.006702,82,St James Pl & Pearl St,40.711174,-74.000165,17362,Subscriber,1978,1
-73.98776323,40.71269042,144074,849,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,259,South St & Whitehall St,40.701221,-74.012342,15007,Subscriber,1983,1
-74.01301200,40.71497870,144095,136,NULL,NULL,309,Murray St & West St,40.714979,-74.013012,327,Vesey Pl & River Terrace,40.715338,-74.016584,14944,Subscriber,1956,1
-73.98776323,40.71269042,144099,1136,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,315,South St & Gouverneur Ln,40.703554,-74.006702,20078,Subscriber,1984,1
-73.99400398,40.71076228,144106,533,NULL,NULL,408,Market St & Cherry St,40.710762,-73.994004,315,South St & Gouverneur Ln,40.703554,-74.006702,21259,Subscriber,1983,1
