XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.96986848,40.69794000,176662,528,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,239,Willoughby St & Fleet St,40.691966,-73.981302,18199,Subscriber,1972,1
-73.96024116,40.71534825,176671,348,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,460,S 4 St & Wythe Ave,40.712859,-73.965903,19303,Subscriber,1988,1
-73.96476280,40.68851534,176730,367,NULL,NULL,399,Lafayette Ave & St James Pl,40.688515,-73.964763,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,20309,Subscriber,1970,1
-73.98912867,40.68926942,176768,275,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,233,Joralemon St & Adams St,40.692463,-73.989639,15922,Subscriber,1979,2
-73.97703874,40.69327018,176799,1550,NULL,NULL,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,284,Greenwich Ave & 8 Ave,40.739017,-74.002638,19209,Subscriber,1984,1
-73.98912867,40.68926942,176843,1043,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,361,Allen St & Hester St,40.716059,-73.991908,17593,Subscriber,1975,1
-73.96476280,40.68851534,177015,354,NULL,NULL,399,Lafayette Ave & St James Pl,40.688515,-73.964763,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,14790,Subscriber,1979,1
-73.97703874,40.69327018,177271,615,NULL,NULL,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,430,York St & Jay St,40.701485,-73.986569,18909,Subscriber,1979,1
-73.96596410,40.68317813,177339,261,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,243,Fulton St & Rockwell Pl,40.688226,-73.979382,18190,Subscriber,1973,1
-73.98963911,40.69246277,177371,1529,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,347,W Houston St & Hudson St,40.728739,-74.007488,17209,Subscriber,1971,1
-73.96024116,40.71534825,177375,1167,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,268,Howard St & Centre St,40.719105,-73.999733,21283,Subscriber,1985,1
-73.96596410,40.68317813,177415,856,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,390,Duffield St & Willoughby St,40.692216,-73.984284,15277,Subscriber,1982,2
-73.98362464,40.69474881,177446,977,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,264,Maiden Ln & Pearl St,40.707065,-74.007319,18901,Subscriber,1982,1
-73.97703874,40.69327018,177503,1401,NULL,NULL,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,248,Laight St & Hudson St,40.721854,-74.007718,15421,Subscriber,1984,1
-73.98912867,40.68926942,177517,594,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,407,Henry St & Poplar St,40.700469,-73.991454,16536,Subscriber,1967,1
-73.98963911,40.69246277,177546,1545,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,337,Old Slip & Front St,40.703799,-74.008387,15132,Subscriber,1975,1
-73.98362464,40.69474881,177698,447,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,233,Joralemon St & Adams St,40.692463,-73.989639,17751,Subscriber,1982,1
-73.96024116,40.71534825,177710,1631,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,360,William St & Pine St,40.707179,-74.008873,18638,Subscriber,1984,2
-73.96596410,40.68317813,177788,1642,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,361,Allen St & Hester St,40.716059,-73.991908,14708,Subscriber,1987,1
-73.96986848,40.69794000,177843,566,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,321,Cadman Plaza E & Red Cross Pl,40.699918,-73.989718,18552,Subscriber,1973,1
-73.96834101,40.70827295,177929,1122,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,430,York St & Jay St,40.701485,-73.986569,20862,Subscriber,1970,1
-73.96024116,40.71534825,178079,146,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,471,Grand St & Havemeyer St,40.712868,-73.956981,19423,Subscriber,1974,1
-73.99548059,40.70037867,178109,248,NULL,NULL,216,Columbia Heights & Cranberry St,40.700379,-73.995481,414,Pearl St & Anchorage Pl,40.702819,-73.987658,18524,Subscriber,1982,1
-73.96024116,40.71534825,178167,1825,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,167,E 39 St & 3 Ave,40.748901,-73.976049,19303,Subscriber,1989,2
-73.96024116,40.71534825,178273,808,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,311,Norfolk St & Broome St,40.717227,-73.988021,15980,Subscriber,1971,1
-73.96476280,40.68851534,178288,228,NULL,NULL,399,Lafayette Ave & St James Pl,40.688515,-73.964763,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,14963,Subscriber,1967,1
-73.98362464,40.69474881,178328,545,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,399,Lafayette Ave & St James Pl,40.688515,-73.964763,17787,Subscriber,1992,2
-73.96834101,40.70827295,178389,1364,NULL,NULL,282,Kent Ave & S 11 St,40.708273,-73.968341,438,St Marks Pl & 1 Ave,40.727791,-73.985649,16100,Subscriber,1977,1
-73.96024116,40.71534825,178390,1120,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,414,Pearl St & Anchorage Pl,40.702819,-73.987658,15946,Subscriber,1981,1
-73.96986848,40.69794000,178402,483,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,430,York St & Jay St,40.701485,-73.986569,19352,Subscriber,1985,2
-73.98362464,40.69474881,178407,451,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,414,Pearl St & Anchorage Pl,40.702819,-73.987658,17056,Subscriber,1984,2
-73.98912867,40.68926942,178421,1095,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,417,Barclay St & Church St,40.712912,-74.010202,21422,Subscriber,1974,1
-73.98963911,40.69246277,178574,536,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,414,Pearl St & Anchorage Pl,40.702819,-73.987658,21601,Subscriber,1991,2
-73.96476280,40.68851534,178663,2744,NULL,NULL,399,Lafayette Ave & St James Pl,40.688515,-73.964763,377,6 Ave & Canal St,40.722438,-74.005664,17787,Subscriber,1980,2
-73.98963911,40.69246277,178906,330,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,2000,Front St & Washington St,40.702551,-73.989402,19771,Subscriber,1973,2
-73.96986848,40.69794000,178929,445,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,418,Front St & Gold St,40.702240,-73.982578,15870,Subscriber,1969,1
-73.96596410,40.68317813,178947,2519,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,465,Broadway & W 41 St,40.755136,-73.986580,19296,Subscriber,1979,1
-73.96596410,40.68317813,178968,958,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,2000,Front St & Washington St,40.702551,-73.989402,21312,Subscriber,1988,2
